"x1","x2","x3","x4","x5","x6","x7"
"0.689","1.356","2.434","0.675","1.783","2.434","1.763"
"1.813","1.416","3.234","0.764","1.834","2.746","1.673"
"2.454","1.653","4.343","0.796","1.673","2.786","1.943"
"0.264","0.673","5.343","0.864","1.385","3.673","1.835"
"2.227","2.173","5.343","0.849","1.836","3.867","1.734"
"2.643","1.673","0.864","0.864","1.937","3.763","1.823"
"2.114","1.896","9.645","0.894","1.634","3.745","1.863"
"2.126","0.986","0.783","0.856","1.587","2.764","1.973"
"1.873","0.847","0.734","0.834","1.634","2.874","1.788"
"1.786","0.623","0.987","0.867","1.723","2.783","1.783"
"1.253","1.23","0.672","0.827","1.798","2.864","1.786"
"1.794","1.378","0.873","0.856","1.873","2.673","1.783"
"0.573","1.546","0.692","0.843","1.834","2.673","1.693"
"1.241","1.538","0.702","0.734","1.473","2.764","1.787"
